project_id,project_name,sector,implementing_agency,approved_cost_cr,planned_commissioning_date,reported_completion_expenditure_cr,completion_date,financial_year,source_url
N16000014,"DEVELOPMENT OF SB-11,BASSEIN FIELD(OIL & NATURAL GAS",Not Reported,OIL & NATURAL GAS                  245.33      05/2007               132.47 CORPORATION LIMITED,245.33,2007-05-01,132.47,2008-04-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240101150,BRIDGES-SECTION (GQ) KM.61-KM.199 (NH-5)(NATIONAL,Not Reported,NATIONAL                     155.00      05/2004               144.01 HIGHWAYS AUTHORITY OF INDIA,155.0,2004-05-01,144.01,2008-04-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
250100110,ACQ.OF 700 PASS-CUM 160MT CARGO VESSEL,Not Reported,SHIPPING,129.62,2004-02-01,129.62,2008-04-30,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
160100233,DAHEJ-HAZIRA-URAN PIPELINE PROJECT(GAIL)(GAS,Not Reported,"GAS                        1,416.00      07/2005              1,087.56 AUTHORITY OF INDIA LIMITED",1416.0,2005-07-01,1087.56,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100223,TRANSMISSION SYSTEM - TEESTA-V HEP(3*170),Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,208.75,2008-05-01,231.29,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100227,NORTHERN REGION SYSTEM STRENGTHENING - I,Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,271.8,2006-07-01,302.74,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240101135,CHITRADURGA-SIRA (GQ) KM.189-KM.122.3 (NH-4)(NATIONAL,Not Reported,NATIONAL                 304.00      08/2004               371.40 HIGHWAYS AUTHORITY OF INDIA,304.0,2004-08-01,371.4,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240101175,ETAWAH-RAJPUR (GQ) KM.321.1-KM.393 (NH-2)(NATIONAL,Not Reported,NATIONAL                    348.44      03/2005               395.66 HIGHWAYS AUTHORITY OF INDIA,348.44,2005-03-01,395.66,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240101177,KANPUR-FATEHPUR (GQ) KM.470-483-KM.0-KM.38 (NH-,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,495.35,2005-03-01,636.69,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106217,RADHANPUR TO GAGODHAR(PACKAGE-V) PHASE-,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,429.4,2005-02-01,360.99,2008-05-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
