project_id,project_name,sector,ministry,state,implementing_agency,original_cost,revised_cost,current_expenditure,planned_start_date,planned_completion_date,revised_completion_date,actual_completion_date,month,physical_progress_percentage,financial_progress_percentage,milestone_status,delay_months,source_report,source_url
N02000010,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4,,,,NPCIL,11459.0,22517.0,21479.0,,2015-12-01,2024-03-01,,2024-06-30,100.0,95.3901,,99.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N02000027,RAJASTHAN ATOMIC POWER PROJECT -7,,,,NPCIL,12320.0,22924.0,18503.0,,2016-12-01,2026-12-01,,2024-06-30,91.7,80.7145,,120.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N02000028,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4,,,,NPCIL,39849.0,68893.0,44074.0,,2020-11-01,2026-11-01,,2024-06-30,72.6,63.9746,,72.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N02000029,KUDANKULAM NUCLEAR POWER PROJECT 5 AND 6,,,,NPCIL,49621.0,,16681.0,,2027-09-01,2027-09-01,,2024-06-30,28.03,33.6168,,0.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",,,,AAI,417.23,707.73,697.52,,2018-09-01,2023-06-01,,2024-06-30,100.0,98.5574,,57.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDI AT VSI AIRPORT, PORTBLAIR",,,,,417.23,707.73,698.8,,2018-09-01,2023-06-01,,2024-10-31,100.0,98.7382,,57.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000073,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPO PORTBLAIR,,,,AAI,417.23,707.73,698.8,,2018-09-01,2023-06-01,,2024-11-30,100.0,98.7382,,57.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,,,AAI,2467.0,,1482.91,,2022-02-01,2025-12-01,,2024-06-30,57.4,60.1099,,46.0,June.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content/ArchiveReport/flash/2024-25/June.pdf
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",,,,,2467.0,,1506.37,,2022-02-01,2025-12-01,,2024-10-31,60.0,61.0608,,46.0,October.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content/ArchiveReport/flash/2024-25/October.pdf
N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHEN",,,,,2467.0,,1515.13,,2022-02-01,2026-03-01,,2024-11-30,61.41,61.4159,,49.0,November.pdf,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content/ArchiveReport/flash/2024-25/November.pdf
