project_id,month,project_name,sector,ministry,state,agency,original_cost,current_estimated_cost,actual_cost,planned_start_date,planned_completion_date,revised_completion_date,actual_completion_date,monthly_expenditure,physical_progress_percentage,milestone_completed,milestone_delay_days
602098,2020-07-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,425.74,518.5,2020-06-30,2023-06-30,2023-07-05,2024-01-10,9.78,2.65,False,3
602098,2020-08-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,426.89,518.5,2020-06-30,2023-06-30,2023-07-10,2024-01-10,10.24,6.17,False,4
602098,2020-09-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,428.27,518.5,2020-06-30,2023-06-30,2023-07-16,2024-01-10,10.24,9.47,False,5
602098,2020-10-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,429.81,518.5,2020-06-30,2023-06-30,2023-07-21,2024-01-10,10.24,12.41,False,5
602098,2020-11-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,431.51,518.5,2020-06-30,2023-06-30,2023-07-26,2024-01-10,10.24,14.9,False,6
602098,2020-12-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,433.32,518.5,2020-06-30,2023-06-30,2023-08-01,2024-01-10,10.24,17.0,False,6
602098,2021-01-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,435.25,518.5,2020-06-30,2023-06-30,2023-08-06,2024-01-10,10.24,18.83,True,3
602098,2021-02-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,437.27,518.5,2020-06-30,2023-06-30,2023-08-12,2024-01-10,10.24,20.6,False,4
602098,2021-03-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,439.39,518.5,2020-06-30,2023-06-30,2023-08-17,2024-01-10,10.24,22.52,False,5
602098,2021-04-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,441.59,518.5,2020-06-30,2023-06-30,2023-08-22,2024-01-10,10.24,24.77,False,5
602098,2021-05-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,443.87,518.5,2020-06-30,2023-06-30,2023-08-28,2024-01-10,10.24,27.46,False,6
602098,2021-06-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,446.22,518.5,2020-06-30,2023-06-30,2023-09-02,2024-01-10,10.24,30.57,False,6
602098,2021-07-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,448.64,518.5,2020-06-30,2023-06-30,2023-09-08,2024-01-10,10.24,33.99,True,3
602098,2021-08-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,451.13,518.5,2020-06-30,2023-06-30,2023-09-13,2024-01-10,10.24,37.53,False,4
602098,2021-09-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,453.68,518.5,2020-06-30,2023-06-30,2023-09-18,2024-01-10,10.24,40.98,False,5
602098,2021-10-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,456.29,518.5,2020-06-30,2023-06-30,2023-09-24,2024-01-10,10.24,44.14,False,5
602098,2021-11-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,458.96,518.5,2020-06-30,2023-06-30,2023-09-29,2024-01-10,10.24,46.89,False,6
602098,2021-12-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,461.68,518.5,2020-06-30,2023-06-30,2023-10-05,2024-01-10,10.24,49.2,False,6
602098,2022-01-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,464.46,518.5,2020-06-30,2023-06-30,2023-10-10,2024-01-10,10.24,51.16,True,3
602098,2022-02-01,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,Department of Higher Education,Maharashtra,Department Implementation Agency,425.0,467.29,518.5,2020-06-30,2023-06-30,2023-10-15,2024-01-10,10.24,52.93,False,4
