project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun_percentage,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,DEVELOPMENT OF STATE HIGHWAYS IN THE STATE OF BIHAR,Urban Development,Not reported,2010,2016-01-31,2727.89,2709.0,-21.376367057398564,-0.6924766027955627,-20.683890454603002,536.1276287538218,2162,-1625.8723712461783,1,1
,INSTALLATION OF ADDITIONAL HEAT TREATMENT FACILITIES IN SPP,Oddisha                         (Steel Authority Of India,Not reported,2014,2016-01-31,160.48,143.89,-35.17020615913818,-10.337736789631109,-24.832469369507074,225.80271645021645,517,-291.19728354978355,1,1
,"REBUILDING OF COKE OVEN BATTERY-3 AT RSP, ROURKELA,",Steel,Not reported,2014,2016-01-31,237.09,221.88,-6.417490895330661,-6.415285334683035,-0.0022055606476261147,286.99988636363645,426,-139.00011363636355,1,1
,TRANSMISSION SYSTEM FOR PHASE-I GEN PROJECT IN ORISSA -,Power,Not reported,2013,2016-01-31,2074.86,1975.94,-95.38017293551428,-4.767550581725999,-90.61262235378828,113.3741802722054,1066,-952.6258197277946,0,1
,"COLD REPAIR OF COKE OVEN BATTERY-9 AT BSP, BHILAI,",Steel,Not reported,2014,2016-03-31,332.65,237.86,-28.702075684230138,-28.49541560198406,-0.2066600822460778,270.98838695395517,608,-337.01161304604483,1,1
,2-LANING WITH PAVED SHOULDER OF RAEBARELI TO JAUNPUR,Road Transport And Highways,Not reported,2016,2016-04-30,569.38,737.59,-14.165625998220936,29.54266043766905,-43.70828643588999,155.75920405352224,0,155.75920405352224,1,1
,ACADEMIC CUM RESIDENTIAL CAMPUS AT HARINGHANTA KALYANI,Urban Development,Not reported,2012,2016-05-31,225.81,143.72,-5.966833992962059,-36.35357158673221,30.38673759377015,94.6412896825397,1460,-1365.3587103174602,1,1
,RESIDENTIAL AND OTHER COMPLEXES FOR THE CAMPUS OF IIT,Wb For Iiser Kolkata             (Central Public Works,Not reported,2014,2016-05-31,171.1,192.24,-25.125554106168035,12.355347749853895,-37.48090185602193,189.61482683982686,638,-448.38517316017317,1,1
,REENGUS SIKAR,Road Transport And Highways,Not reported,2014,2016-07-31,333.51,226.96,-31.476268473993496,-31.948067524212163,0.4717990502186673,239.04363046044858,699,-459.9563695395514,1,1
,TRANSMISSION SYSTEM ASSOCIATED WITH KRISHNAPATNAM UMPP-,Power,Not reported,2014,2016-07-31,1927.16,1642.57,-49.75542182471202,-14.767326013408338,-34.98809581130369,310.673538961039,669,-358.326461038961,1,1
