project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,CONSTRUCTION OF EXTENSION BUILDING TO PARLIAMENT HOUSE,Urban Development,Not reported,2013,2017-01-31,261.85,235.0,-48.537409695219466,-10.253962192094718,-38.28344750312475,627.5785279045239,1371.0,-743.4214720954761,3,3,0.32957763162372555,-34.72315372480872,-22.442538410217285,-18.941427991623428,-191.1692161560277,260.9111784475026,1083.2086930403575,83.33
,WIDENING AND STRENGTHENING TO 2-LANE WITH PS OF NIMBI,Road Transport And Highways,Not reported,2016,2017-02-28,368.15,231.79,-34.807688394491585,-37.03925030558196,2.231561911090374,329.66514532265376,424.0,-94.33485467734624,2,2,0.5789146355859813,-72.0145431060255,-27.05732256020603,-3.7563710782205106,-410.25468743448323,365.8289903639088,893.093544135292,83.33
,INSTALLATION OF DIESEL HYDROTREATMENT UNIT (DHT) AND,Petroleum,Not reported,2017,2017-09-30,1714.0,1067.89,-14.186878435059645,-37.69603267211201,23.509154237052364,501.15307424154184,121.0,380.15307424154184,2,1,0.3922169579204815,-25.697672298618173,-7.180132358860719,16.514381396615114,-309.0351867348042,324.9325409785027,1377.8703149359865,83.33
,WR-NR HVDC INTERCONNECTOR FOR IPP PROJECTS IN,Power,Not reported,2015,2017-09-30,9569.76,7311.17,-7.578855996502731,-23.60132333517246,16.022467338669728,803.1268504742997,852.0,-48.87314952570034,2,3,0.3334555380323392,-16.38894752902625,-6.125306125618857,-1.6027648031673394,9.941295826081387,427.19599978585825,860.8696917322119,83.33
,CONSTRUCTION OF NISM CAMPUS AT PATALGANGA RASAYANI,Urban Development,Not reported,2015,2017-10-31,315.0,302.82,-48.39610709943287,-3.866666666666669,-44.5294404327662,588.8753783676825,883.0,-294.1246216323175,3,3,0.31181412490544547,-38.01343490263609,-20.118193578609326,-10.653146447454809,-139.04950445548036,227.32390236061065,1121.1180215862419,83.33
,INSTALLATION OF DEMONSTRATION UNIT OF INDA DEPT AT,Petroleum,Not reported,2016,2017-10-31,163.88,82.45,-23.47651653908148,-49.68879668049792,26.212280141416443,639.4381702586485,487.0,152.43817025864848,0,2,0.31703367501291824,-48.03367755397074,-28.285079724123506,17.275958534697722,-146.94692713816843,243.3209453620623,1769.6706313711531,83.33
,IMPLEMENTATION OF 50 MW WIND POWER PROJECT AT RAJASTHAN,Mines,Not reported,2016,2017-11-30,344.5,344.5,-34.78586246894338,0.0,-34.78586246894338,786.4190611168247,394.0,392.41906111682465,2,2,0.46502845277514077,-87.7556674677026,-33.05571704811462,-11.859679726185288,-595.8881699367091,449.6302394511304,1915.3859853288586,83.33
,SAFDARJUNG HOSPITAL RE-DEVELOPMENT AND OTHERS -SUPER,Health And Family Welfare,Not reported,2015,2017-12-31,444.7,326.3,-18.01714327880885,-26.624690802788393,8.607547523979544,939.749793449544,761.0,178.74979344954397,2,3,0.47845737898621304,-68.9055619357192,-18.656048909670236,88.70085219974374,-474.22143295435677,281.7741720759406,3192.966128057724,83.33
,"SAFDARJUNG HOSPITAL, NEW DELHI-REDEVELOPMENT and",Speciality Block                (Hospital Services,Not reported,2016,2017-12-31,196.7,170.0,-13.515143170852166,-13.57397051347229,0.058827342620123346,710.4343714865477,730.0,-19.56562851345234,2,3,0.46064453181836407,-52.22731395017548,-15.69392253234384,127.78556973158754,-385.47389809563174,266.65297162104434,3614.9428309918685,83.33
,RAMANAGRAM-MYSORE DOUBLING WITH ELECTRIFICATION OF,Railways,Not reported,2013,2018-02-28,482.0,992.61,12.782323014861106,105.93568464730289,-93.15336163244179,648.8970937267364,1825.0,-1176.1029062732637,0,3,0.39372444755472485,-28.92243607109711,-9.644509845617666,27.850360064747786,-575.3403509842146,453.0809976354654,1558.6617277380794,83.33
